no,Age,Job,Creditamount,Duration,Sex_male,Housing_own,Housing_rent,Savingaccounts_moderate,Savingaccounts_quite rich,Savingaccounts_rich,Checkingaccount_moderate,Checkingaccount_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_Income_Ratio,Credit_Duration_Ratio,Saving_Checking_Account_little_moderate,Saving_Checking_Account_little_rich,Saving_Checking_Account_moderate_little,Saving_Checking_Account_moderate_moderate,Saving_Checking_Account_moderate_rich,Saving_Checking_Account_quite rich_little,Saving_Checking_Account_quite rich_moderate,Saving_Checking_Account_quite rich_rich,Saving_Checking_Account_rich_little,Saving_Checking_Account_rich_moderate,Saving_Checking_Account_rich_rich
72,51,3,1164,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.04377682403433476,129.33333333333334,False,False,False,False,False,False,False,False,False,False,False
73,41,1,5954,42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0068849706129303105,138.46511627906978,True,False,False,False,False,False,False,False,False,False,False
75,66,3,1526,12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.043222003929273084,117.38461538461539,False,False,False,False,False,False,False,False,False,False,False
76,34,2,3965,42,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.008572869389813415,92.20930232558139,False,False,False,False,False,False,False,False,False,False,False
77,51,2,4771,11,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.01068734283319363,397.5833333333333,True,False,False,False,False,False,False,False,False,False,False
79,22,2,3832,30,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.00573962953300287,123.61290322580645,True,False,False,False,False,False,False,False,False,False,False
83,58,1,1755,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03302961275626424,70.2,False,False,False,False,False,False,False,False,False,False,False
84,52,1,2315,10,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022452504317789293,210.45454545454547,False,False,False,False,False,False,False,False,False,False,False
86,27,2,1295,18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.020833333333333332,68.15789473684211,True,False,False,False,False,False,False,False,False,False,False
87,47,2,12612,36,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0.003726314120352018,340.86486486486484,False,False,False,True,False,False,False,False,False,False,False
88,30,3,2249,18,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.013333333333333334,118.36842105263158,False,False,True,False,False,False,False,False,False,False,False
89,28,2,1108,12,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.025247971145175834,85.23076923076923,False,False,False,False,False,False,False,False,False,False,False
91,54,2,1409,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03829787234042553,108.38461538461539,False,False,False,False,False,False,False,False,False,False,False
94,54,2,1318,12,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,0.04094010614101592,101.38461538461539,False,False,False,False,False,False,False,False,False,True,False
95,58,2,15945,54,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.003637275805844726,289.90909090909093,True,False,False,False,False,False,False,False,False,False,False
97,34,2,2622,18,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0.012962256957682043,138.0,False,False,False,True,False,False,False,False,False,False,False
98,36,2,2337,36,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.015397775876817793,63.16216216216216,True,False,False,False,False,False,False,False,False,False,False
101,24,2,2323,36,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.010327022375215147,62.78378378378378,True,False,False,False,False,False,False,False,False,False,False
103,35,2,1919,9,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0.018229166666666668,191.9,True,False,False,False,False,False,False,False,False,False,False
105,39,3,11938,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.003266605243320211,477.52,True,False,False,False,False,False,False,False,False,False,False
107,32,2,6078,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0052640236881065965,467.53846153846155,True,False,False,False,False,False,False,False,False,False,False
109,35,2,1410,14,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0.024805102763997167,94.0,False,False,False,False,False,False,True,False,False,False,False
110,31,2,1449,6,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0.021379310344827585,207.0,False,False,False,True,False,False,False,False,False,False,False
111,23,2,392,15,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,0.058524173027989825,24.5,False,True,False,False,False,False,False,False,False,False,False
112,28,1,6260,18,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.004472129052866954,329.4736842105263,True,False,False,False,False,False,False,False,False,False,False
114,35,2,1680,12,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.02082093991671624,129.23076923076923,False,False,False,False,False,True,False,False,False,False,False
118,23,2,4281,33,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.005371321812237272,125.91176470588235,False,False,False,False,False,True,False,False,False,False,False
119,36,3,2366,12,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,0.015209125475285171,182.0,False,False,False,False,False,False,True,False,False,False,False
120,25,2,1835,21,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.013616557734204794,83.4090909090909,False,False,False,False,False,False,False,False,False,False,False
123,63,2,781,10,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.08056265984654731,71.0,False,True,False,False,False,False,False,False,False,False,False
125,30,2,2121,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.01413760603204524,163.15384615384616,False,False,False,False,False,False,False,False,False,False,False
126,40,1,701,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.05698005698005698,53.92307692307692,False,False,False,False,False,False,False,False,False,False,False
127,30,2,639,12,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.046875,49.15384615384615,True,False,False,False,False,False,False,False,False,False,False
128,34,3,1860,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.018269747447608814,143.07692307692307,True,False,False,False,False,False,False,False,False,False,False
129,29,2,3499,12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.008285714285714285,269.15384615384613,False,False,False,False,False,False,False,False,False,False,False
131,29,2,6887,36,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.004210220673635308,186.13513513513513,False,False,False,False,False,False,False,False,False,False,False
137,66,1,766,12,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,0.08604954367666232,58.92307692307692,False,False,False,False,False,False,True,False,False,False,False
139,44,1,1881,12,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.023379383634431455,144.69230769230768,False,True,False,False,False,False,False,False,False,False,False
140,27,0,709,6,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,0.038028169014084505,101.28571428571429,False,False,False,False,False,False,False,False,False,False,True
141,30,3,4795,36,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.006255212677231026,129.59459459459458,True,False,False,False,False,False,False,False,False,False,False
142,27,3,3416,27,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.007901668129938543,122.0,False,False,False,False,False,False,False,False,False,False,False
143,22,2,2462,18,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.008932196508323184,129.57894736842104,False,False,False,False,False,False,False,False,False,False,False
145,30,2,3566,48,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0.008410428931875526,72.77551020408163,False,False,False,True,False,False,False,False,False,False,False
146,39,2,860,6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.04529616724738676,122.85714285714286,False,False,False,False,False,False,False,False,False,False,False
148,28,2,5371,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0052122114668652275,145.16216216216216,False,False,False,False,False,False,False,False,False,False,False
152,24,2,5848,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0041032655154727305,158.05405405405406,False,True,False,False,False,False,False,False,False,False,False
153,29,2,7758,24,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,0.003737595050908622,310.32,False,False,False,False,False,False,False,False,False,True,False
154,36,3,6967,24,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,0.005166475315729047,278.68,False,False,False,True,False,False,False,False,False,False,False
155,20,2,1282,12,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.01558846453624318,98.61538461538461,False,False,False,False,False,False,False,False,False,False,False
156,48,2,1288,9,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.037238169123351435,128.8,False,False,True,False,False,False,False,False,False,False,False
157,45,1,339,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1323529411764706,26.076923076923077,False,False,False,False,False,False,False,False,False,False,False
158,38,2,3512,24,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.010816965556504412,140.48,False,False,False,True,False,False,False,False,False,False,False
163,70,3,7308,10,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.009577233547680941,664.3636363636364,True,False,False,False,False,False,False,False,False,False,False
166,33,2,1131,18,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.029151943462897525,59.526315789473685,False,False,False,False,False,False,False,False,False,False,False
167,20,2,1577,11,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,0.012674271229404309,131.41666666666666,False,False,False,False,False,False,False,False,False,True,False
169,31,2,1935,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.016012396694214875,77.4,True,False,False,False,False,False,False,False,False,False,False
170,33,2,950,15,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.03470031545741325,59.375,False,False,False,False,False,False,False,False,False,False,False
172,34,3,2064,24,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.01646489104116223,82.56,True,False,False,False,False,False,False,False,False,False,False
173,33,2,1414,8,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.023321554770318022,157.11111111111111,True,False,False,False,False,False,False,False,False,False,False
174,26,2,3414,21,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.007613469985358712,155.1818181818182,False,False,False,False,False,False,False,False,False,False,False
176,42,2,2577,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.016291698991466253,198.23076923076923,False,False,False,False,False,False,False,False,False,False,False
177,52,2,338,6,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.15339233038348082,48.285714285714285,False,False,False,False,False,True,False,False,False,False,False
179,65,2,571,21,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.11363636363636363,25.954545454545453,False,False,False,False,False,False,False,False,False,False,False
181,30,3,4455,36,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.006732495511669659,120.4054054054054,True,False,False,False,False,False,False,False,False,False,False
184,36,2,884,18,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.04067796610169491,46.526315789473685,True,False,False,False,False,False,False,False,False,False,False
186,74,3,5129,9,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.01442495126705653,512.9,True,False,False,False,False,False,False,False,False,False,False
187,68,0,1175,16,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.05782312925170068,69.11764705882354,True,False,False,False,False,False,False,False,False,False,False
188,20,2,674,12,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.02962962962962963,51.84615384615385,False,False,True,False,False,False,False,False,False,False,False
189,33,2,3244,18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.010169491525423728,170.73684210526315,True,False,False,False,False,False,False,False,False,False,False
191,34,1,3844,48,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.008842652795838752,78.44897959183673,False,False,False,True,False,False,False,False,False,False,False
192,36,2,3915,27,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.009193054136874362,139.82142857142858,True,False,False,False,False,False,False,False,False,False,False
194,21,2,3031,45,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,0.006926121372031662,65.8913043478261,False,False,False,True,False,False,False,False,False,False,False
195,34,3,1501,9,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.022636484687083888,150.1,True,False,False,False,False,False,False,False,False,False,False
197,27,2,951,12,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,0.028361344537815126,73.15384615384616,False,False,False,True,False,False,False,False,False,False,False
199,40,3,4297,18,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.009306654257794323,226.1578947368421,True,False,False,False,False,False,False,False,False,False,False
201,27,1,1168,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.023096663815226688,89.84615384615384,False,False,False,False,False,False,False,False,False,False,False
203,21,2,902,12,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.023255813953488372,69.38461538461539,False,False,False,False,False,False,False,False,False,False,False
205,38,3,10623,30,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0035768072289156625,342.6774193548387,False,False,False,False,False,False,False,False,False,False,False
207,26,2,1424,12,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,0.018245614035087718,109.53846153846153,True,False,False,False,False,False,False,False,False,False,False
208,21,1,6568,24,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003196833612421982,262.72,False,False,False,False,False,False,False,False,False,False,False
212,50,2,5293,27,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009444654325651681,189.03571428571428,False,False,False,False,False,False,False,False,False,False,False
213,66,3,1908,30,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.03457307490832897,61.54838709677419,False,True,False,False,False,False,False,False,False,False,False
216,31,2,3104,18,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00998389694041868,163.3684210526316,False,False,False,False,False,False,False,False,False,False,False
217,23,2,3913,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.005876341338783853,105.75675675675676,False,True,False,False,False,False,False,False,False,False,False
218,24,1,3021,24,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.007941760423560556,120.84,False,False,False,False,False,False,False,False,False,False,False
220,26,1,625,12,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.04153354632587859,48.07692307692308,True,False,False,False,False,False,False,False,False,False,False
226,27,2,10961,48,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,0.0024630541871921183,223.69387755102042,False,False,False,False,False,False,False,False,False,True,False
227,53,3,7865,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.006737859140605136,605.0,False,False,False,False,False,False,False,False,False,False,False
229,22,2,3149,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.006984126984126984,125.96,False,False,False,False,False,False,False,False,False,False,False
230,26,2,4210,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.006174305390643553,113.78378378378379,False,True,False,False,False,False,False,False,False,False,False
233,25,1,866,18,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.02883506343713956,45.578947368421055,True,False,False,False,False,False,False,False,False,False,False
235,30,3,1823,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.01644736842105263,72.92,False,False,False,False,False,False,False,False,False,False,False
237,61,1,2767,21,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,0.02203757225433526,125.77272727272727,False,False,False,True,False,False,False,False,False,False,False
239,39,2,2522,30,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.015457788347205707,81.35483870967742,False,False,False,False,False,False,False,False,False,False,False
242,24,2,4605,48,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.005210594876248371,93.9795918367347,False,False,False,False,False,False,False,False,False,False,False
248,26,2,1925,24,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.013499480789200415,77.0,False,True,False,False,False,False,False,False,False,False,False
250,39,1,666,6,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.05847076461769116,95.14285714285714,False,False,False,False,False,False,False,False,True,False,False
251,46,1,2251,12,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.020426287744227355,173.15384615384616,False,True,False,False,False,False,False,False,False,False,False
252,24,2,2150,30,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.011157601115760111,69.35483870967742,True,False,False,False,False,False,False,False,False,False,False
257,29,2,2149,12,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.013488372093023256,165.30769230769232,False,False,False,False,False,False,False,False,False,False,False
260,27,2,1657,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.016284680337756333,127.46153846153847,False,False,False,False,False,False,False,False,False,False,False
261,55,2,1603,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.03428927680798005,64.12,False,False,False,False,False,False,False,False,False,False,False
262,36,3,5302,18,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.006788610220629833,279.05263157894734,False,False,False,False,False,False,False,False,False,False,False
265,37,2,802,15,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.0460772104607721,50.125,True,False,False,False,False,False,False,False,False,False,False
268,45,3,8978,14,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.005011693952555964,598.5333333333333,False,False,False,False,False,False,False,False,False,False,False
273,28,2,3060,48,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.00914733747141457,62.44897959183673,True,False,False,False,False,False,False,False,False,False,False
274,34,1,11998,30,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00283356946412201,387.03225806451616,False,False,False,False,False,False,False,False,False,False,False
284,37,2,3878,24,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.009538540861046661,155.12,False,False,False,True,False,False,False,False,False,False,False
285,35,1,10722,47,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0032640119369579407,223.375,False,False,False,False,False,False,False,False,False,False,False
286,26,2,4788,48,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.005429108373355606,97.71428571428571,False,False,False,False,False,False,False,False,False,False,False
287,31,3,7582,48,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.004088091784254253,154.73469387755102,False,False,False,True,False,False,False,False,False,False,False
288,49,2,1092,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.04483074107959744,84.0,True,False,False,False,False,False,False,False,False,False,False
289,48,2,1024,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.04682926829268293,40.96,False,False,False,False,False,False,False,False,False,False,False
291,28,3,9398,36,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.0029790403234386635,254.0,True,False,False,False,False,False,False,False,False,False,False
292,44,3,6419,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.006853582554517134,256.76,False,False,False,False,False,False,False,False,False,False,False
293,56,2,4796,42,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.011673962893475089,111.53488372093024,False,True,False,False,False,False,False,False,False,False,False
295,26,2,9960,48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.0026101797008332497,203.26530612244898,True,False,False,False,False,False,False,False,False,False,False
299,32,2,2745,21,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,0.011653313911143482,124.77272727272727,False,False,False,False,False,False,False,False,False,True,False
301,42,2,3804,36,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.011038107752956636,102.8108108108108,True,False,False,False,False,False,False,False,False,False,False
303,49,2,1038,10,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.04716073147256978,94.36363636363636,False,False,False,False,False,False,False,False,False,False,False
307,33,1,727,12,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.04532967032967033,55.92307692307692,False,False,True,False,False,False,False,False,False,False,False
308,24,2,1237,8,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.01938610662358643,137.44444444444446,True,False,False,False,False,False,False,False,False,False,False
309,22,1,276,9,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.07942238267148015,27.6,True,False,False,False,False,False,False,False,False,False,False
312,26,2,3749,24,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.006933333333333333,149.96,False,True,False,False,False,False,False,False,False,False,False
313,25,1,685,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.03644314868804665,52.69230769230769,True,False,False,False,False,False,False,False,False,False,False
315,31,2,2746,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.011285038223516564,74.21621621621621,False,False,False,False,False,False,False,False,False,False,False
316,38,1,708,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0535966149506347,54.46153846153846,False,False,False,False,False,False,False,False,False,False,False
